"Distribution","AIC","BIC","LogLik"
"gengamma",13161.3607121489,13218.7068529134,-6572.68035607447
"gengamma.orig",13245.2140530053,13302.5601937697,-6614.60702650263
"genf",13164.7501770946,13229.2645854546,-6573.37508854729
"genf.orig",13164.1809506381,13228.6953589981,-6573.09047531904
"weibull",13306.6291808053,13356.8070539741,-6646.31459040263
"gamma",13184.7619096742,13234.9397828431,-6585.38095483711
"exp",15090.2340752838,15133.2436808571,-7539.11703764191
"llogis",13209.8382973819,13260.0161705507,-6597.91914869093
"lnorm",13160.8889233449,13211.0667965137,-6573.44446167243
"gompertz",13905.6921755275,13955.8700486964,-6945.84608776375
